DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
PIER A HARBOR HOUSE,wealthier,10004,American,12/20/18,02B,Y,1,12/20/18,40.70512906,-74.0177199,101,1,31704,1085492,1000160001,MN25
LECHE Y MIEL RESTAURANT,less wealthy,10463,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/29/19,10F,N,1,5/29/19,40.88363962,-73.90149848,208,11,28500,2099025,2057650728,BX29
CROWN FRIED CHICKEN,less wealthy,11432,American,10/31/19,10F,N,1,10/31/19,40.70700227,-73.80238832,412,24,23600,4208935,4097630042,QN35
TASTE OF CHINA RESTAURANT,less wealthy,11225,Chinese,4/17/19,10F,N,1,4/17/19,40.66172771,-73.95075333,309,40,80000,3035368,3013290047,BK60
DUNKIN',less wealthy,10460,Donuts,10/24/19,10F,N,1,10/24/19,40.83997463,-73.87686115,206,15,22000,2098842,2040040011,BX17
CARITA FELIZ,less wealthy,11237,"Juice, Smoothies, Fruit Salads",5/3/19,04A,Y,1,5/3/19,40.70093416,-73.92135644,304,37,43100,3074176,3032580008,BK77
MOTT HAVEN BAR & GRILL,less wealthy,10454,American,8/21/19,04N,Y,1,8/21/19,40.80863343,-73.93042217,201,8,1900,2092149,2023170001,BX39
Courtyard by Marriott Manhattan Chelsea,wealthier,10001,American,9/10/19,04H,Y,1,9/10/19,40.7477453,-73.99072834,105,3,10100,1090129,1008060013,MN17
NEST RESTAURANT & BAR,less wealthy,11419,Caribbean,9/16/19,06D,Y,0,9/16/19,40.69146123,-73.82069176,409,28,15400,4199967,4094680022,QN54
PRO THAI,wealthier,10029,Thai,10/7/19,04M,Y,1,10/7/19,40.78873269,-73.94882449,111,8,16600,1051813,1016280050,MN33
HOUSE OF SEAFOOD EXPRESS,wealthier,10037,Seafood,12/9/19,06C,Y,1,12/9/19,40.81188165,-73.94249551,110,9,22600,1058104,1019160031,MN03
HARBS,wealthier,10011,Japanese,4/12/19,04N,Y,1,4/12/19,40.7459149,-74.00172869,104,3,9300,1013337,1007460001,MN13
HEERMANCE FARM PURVEYORS,wealthier,10014,American,3/12/19,02I,Y,1,3/12/19,40.73249262,-74.00960149,102,3,7500,1011985,1006360039,MN23
ELI'S ESSENTIALS,wealthier,10128,Sandwiches/Salads/Mixed Buffet,11/14/19,06C,Y,1,11/14/19,40.78426762,-73.95706833,108,4,15002,1047004,1015020056,MN40
ELI'S ESSENTIALS,wealthier,10075,American,11/18/19,08A,N,0,11/18/19,40.77438382,-73.95722998,108,5,14000,1047476,1015080033,MN40
MUGI,less wealthy,11355,Bakery,3/21/19,06D,Y,1,3/21/19,40.75794336,-73.82853267,407,20,85300,4309526,4050447501,QN22
WEEKENDER BILLIARD & BAR,less wealthy,11377,Asian,9/30/19,04M,Y,0,9/30/19,40.74402196,-73.91070257,402,26,25100,4030924,4013220074,QN63
BROMPTON CAFE,less wealthy,11249,Café/Coffee/Tea,5/1/19,05D,Y,1,5/1/19,40.72098268,-73.95984742,301,33,55700,3392437,3023090015,BK73
PARRILLADAS SUNRISE MEXICAN RESTAURANT BAR,less wealthy,11372,Mexican,10/24/19,06D,Y,1,10/24/19,40.75568002,-73.88423295,403,25,32700,4034560,4014130039,QN28
LITTLE CHOC APOTHECARY,less wealthy,11211,Café/Coffee/Tea,12/6/19,08A,N,1,12/6/19,40.71193775,-73.95730988,301,34,52300,3330370,3024090003,BK73
BLEND SALAD AND JUICE BAR,less wealthy,11228,Salads,10/28/19,10B,N,1,10/28/19,40.61827434,-74.00873491,310,43,19800,3161892,3062560010,BK30
SWEET GARDEN CHINESE TAKEOUT RESTAURANT,less wealthy,11366,Chinese,1/14/20,02B,Y,1,1/14/20,40.72064446,-73.80926346,408,24,77904,4147723,4068170020,QN37
SPICY TIBET,less wealthy,11372,Asian,3/5/19,02B,Y,1,3/5/19,40.74694394,-73.89033298,404,25,26700,4036732,4014860025,QN29
NEW RED LANTERN,less wealthy,11219,Chinese,5/14/19,04M,Y,1,5/14/19,40.63445512,-74.00349121,312,38,21600,3140281,3056950007,BK88
SUBWAY,less wealthy,11691,Sandwiches/Salads/Mixed Buffet,8/15/19,09B,N,1,8/15/19,40.5960029,-73.75411046,414,31,99801,4301264,4157800075,QN15
LORNAS TAKE OUT,less wealthy,11434,Caribbean,10/15/19,10F,N,0,10/15/19,40.68186858,-73.76607653,412,27,36600,4269910,4124860004,QN08
